touchpoint_id,advertiser_id,rep_id,touchpoint_type,occurred_at,notes
tp_0037,adv_t,rep_05,call,2024-01-26 09:50:00,Discussed recipe series sponsorship with client
tp_0038,adv_o,rep_02,email,2024-01-27 12:05:00,"Reviewed contract terms tied to programmatic pilot discussion, legal reviewing redlines"
tp_0039,adv_o,rep_02,email,2024-01-27 16:20:00,"Client requested changes to audience segment review, will revise and resend"
tp_0040,adv_s,rep_05,email,2024-01-29 07:10:00,Kickoff call for Champions League placement
tp_0041,adv_r,rep_01,email,2024-01-29 10:20:00,Advertiser asked for case studies related to at-risk account review
tp_0042,adv_j,rep_07,demo,2024-01-29 18:30:00,"Reviewed CTV inventory pitch results, positive feedback from advertiser"
tp_0043,adv_o,rep_03,call,2024-01-31 08:50:00,"quarterly business review - client is interested, sending proposal next week"
tp_0044,adv_o,rep_02,demo,2024-02-03 13:00:00,"Reviewed video series kickoff results, positive feedback from advertiser"
tp_0045,adv_i,rep_07,call,2024-02-03 14:20:00,Walked client through spring push planning
tp_0046,adv_q,rep_08,email,2024-02-03 17:00:00,Discussed Q2 renewal with client
tp_0047,adv_t,rep_06,meeting,2024-02-04 13:30:00,FOLLOW UP ASAP - CLIENT ESCALATED TO VP LEVEL
tp_0048,adv_p,rep_07,email,2024-02-04 13:45:00,Walked client through social media bundle upsell
tp_0049,adv_l,rep_02,email,2024-02-04 16:15:00,"Client requested changes to recipe series sponsorship, will revise and resend"
tp_0050,adv_c,rep_02,meeting,2024-02-07 09:30:00,Walked client through spring push planning
tp_0051,adv_r,rep_01,call,2024-02-07 10:10:00,"TBD on renewal date, but client confirmed budget for next year"
tp_0052,adv_s,rep_06,demo,2024-02-07 17:10:00,K
tp_0053,adv_f,rep_04,call,2024-02-07 17:15:00,Client pushed back on pricing during Q2 renewal discussion
tp_0054,adv_o,rep_03,meeting,2024-02-08 16:50:00,..
tp_0055,adv_m,rep_06,email,2024-02-10 14:50:00,"Reviewed holiday campaign brief results, positive feedback from advertiser"
tp_0056,adv_q,rep_08,call,2024-02-11 12:30:00,Rescheduled Q3 budget planning meeting due to client conflict
tp_0057,adv_m,rep_06,meeting,2024-02-11 18:05:00,   
tp_0058,adv_s,rep_06,call,2024-02-12 15:05:00,"  
  "
tp_0059,adv_i,rep_07,email,2024-02-12 18:50:00,"Client requested changes to Q4 upsell conversation, will revise and resend"
tp_0060,adv_d,rep_05,email,2024-02-13 13:00:00,Test
tp_0061,adv_f,rep_04,call,2024-02-14 10:00:00,Rescheduled impression dashboard walkthrough meeting due to client conflict
tp_0062,adv_e,rep_01,email,2024-02-14 13:30:00,"Reviewed contract terms tied to spring push planning, legal reviewing redlines"
tp_0063,adv_s,rep_07,call,2024-02-14 17:50:00,Status update call
tp_0064,adv_d,rep_02,email,2024-02-14 18:20:00,Client's marketing director joined call to discuss Q2 renewal
tp_0065,adv_h,rep_07,call,2024-02-15 13:50:00,no notes
tp_0066,adv_r,rep_04,call,2024-02-16 09:30:00,Client pushed back on pricing during Q1 awareness campaign discussion
tp_0067,adv_h,rep_07,meeting,2024-02-17 08:20:00,"Q2 renewal - client is interested, sending proposal next week"
tp_0068,adv_l,rep_05,meeting,2024-02-17 17:05:00,Advertiser expanded scope of co-op marketing funds to include additional markets
tp_0069,adv_t,rep_05,call,2024-02-18 17:05:00,"Reviewed contract terms tied to Q2 renewal, legal reviewing redlines

Best,
J."
tp_0070,adv_j,rep_01,meeting,2024-02-19 13:50:00,Client's marketing director joined call to discuss at-risk account review
tp_0071,adv_s,rep_07,call,2024-02-19 17:20:00,
tp_0072,adv_a,rep_01,demo,2024-02-21 15:15:00,
tp_0073,adv_d,rep_04,call,2024-02-23 17:30:00,Hi
tp_0074,adv_r,rep_01,email,2024-02-26 08:30:00,Scheduled follow-up meeting to continue at-risk account review conversation
tp_0075,adv_t,rep_06,call,2024-02-26 11:45:00,Sent creative refresh request details via email
tp_0076,adv_c,rep_02,call,2024-02-27 11:30:00,999999
tp_0077,adv_q,rep_08,email,2024-02-29 09:30:00,FOLLOW UP ASAP - CLIENT ESCALATED TO VP LEVEL
tp_0078,adv_h,rep_06,email,2024-03-01 08:15:00,"Q2 renewal - client is interested, sending proposal next week"
tp_0079,adv_k,rep_07,email,2024-03-01 09:05:00,Advertiser expanded scope of influencer partnership pitch to include additional markets
tp_0080,adv_h,rep_07,meeting,2024-03-01 15:00:00,"Notes: n/a for this call, but discussed Q3 pricing at length"
tp_0081,adv_n,rep_02,meeting,2024-03-02 11:15:00,"Discussed Q2 renewal - no major concerns, moving forward as planned"
tp_0082,adv_a,rep_01,call,2024-03-03 18:30:00,"Left voicemail regarding programmatic pilot discussion, awaiting callback"
tp_0083,adv_q,rep_08,meeting,2024-03-05 07:15:00,Advertiser asked for case studies related to mid-flight performance summary
tp_0084,adv_l,rep_05,meeting,2024-03-05 18:00:00,nothing much
tp_0085,adv_h,rep_06,demo,2024-03-06 15:00:00,no notes
tp_0086,adv_o,rep_02,meeting,2024-03-08 09:50:00,"Discussed mid-flight performance summary - no major concerns, moving forward as planned"
tp_0087,adv_a,rep_01,call,2024-03-08 10:30:00,"Discussed attribution report walkthrough - no major concerns, moving forward as planned"
tp_0088,adv_t,rep_06,email,2024-03-08 14:00:00,"Flagged concerns about Q1 awareness campaign performance, escalating internally"
tp_0089,adv_h,rep_07,email,2024-03-09 08:00:00,Sent quarterly business review details via email
tp_0090,adv_s,rep_06,email,2024-03-10 07:45:00,Client pushed back on pricing during spring push planning discussion
tp_0091,adv_t,rep_05,call,2024-03-12 13:20:00,Discussed programmatic pilot discussion with client
tp_0092,adv_c,rep_02,meeting,2024-03-14 07:10:00,Advertiser expanded scope of social media bundle upsell to include additional markets
tp_0093,adv_l,rep_05,call,2024-03-15 11:05:00,Done
tp_0094,adv_t,rep_05,call,2024-03-15 17:50:00,"Reviewed quarterly business review results, positive feedback from advertiser"
tp_0095,adv_j,rep_05,meeting,2024-03-17 10:10:00,Walked client through Champions League placement
tp_0096,adv_i,rep_07,email,2024-03-18 17:05:00,Scheduled follow-up meeting to continue contract renewal terms conversation
tp_0097,adv_d,rep_05,email,2024-03-19 15:05:00,"TBD on renewal date, but client confirmed budget for next year"
tp_0098,adv_d,rep_04,email,2024-03-19 17:05:00,Advertiser expanded scope of spring push planning to include additional markets
tp_0099,adv_a,rep_01,call,2024-03-20 18:20:00,follow up call
tp_0100,adv_f,rep_04,email,2024-03-21 13:10:00,Client pushed back on pricing during Q3 budget planning discussion
tp_0101,adv_k,rep_07,meeting,2024-03-21 14:50:00,Client's marketing director joined call to discuss quarterly business review
tp_0102,adv_s,rep_07,meeting,2024-03-21 18:20:00,12345
tp_0103,adv_s,rep_07,email,2024-03-24 14:50:00,Kickoff call for audience segment review
tp_0104,adv_i,rep_07,meeting,2024-03-25 16:00:00,"Flagged concerns about Q2 renewal performance, escalating internally"
tp_0105,adv_i,rep_04,meeting,2024-03-27 10:20:00,Great meeting - advertiser committed to renewing after quarterly business review review
tp_0106,adv_s,rep_06,email,2024-03-27 12:30:00,Sent at-risk account review details via email
tp_0107,adv_d,rep_04,call,2024-03-27 15:10:00,"Left voicemail regarding spring push planning, awaiting callback"
tp_0108,adv_b,rep_02,email,2024-03-28 10:45:00,Client's marketing director joined call to discuss contract renewal terms
tp_0109,adv_h,rep_06,call,2024-03-29 13:05:00,Null
tp_0110,adv_s,rep_07,call,2024-04-01 07:15:00,check in
tp_0111,adv_c,rep_02,meeting,2024-04-02 11:30:00,
tp_0112,adv_s,rep_07,email,2024-04-02 13:30:00,"Discussed at-risk account review with client

Thanks,
Alex"
tp_0113,adv_i,rep_02,call,2024-04-03 18:05:00,Advertiser expanded scope of Champions League placement to include additional markets
tp_0114,adv_p,rep_05,demo,2024-04-04 07:15:00,"Discussed budget, timeline, creative assets, and renewal terms with client"
tp_0115,adv_q,rep_08,email,2024-04-04 12:00:00,0
tp_0116,adv_k,rep_07,call,2024-04-05 12:30:00,"Flagged concerns about spring push planning performance, escalating internally"
tp_0117,adv_l,rep_02,call,2024-04-05 13:30:00,Client pushed back on pricing during holiday campaign brief discussion
tp_0118,adv_p,rep_07,meeting,2024-04-07 16:30:00,"Client requested changes to programmatic pilot discussion, will revise and resend"
tp_0119,adv_h,rep_04,demo,2024-04-09 07:20:00,"Client requested changes to at-risk account review, will revise and resend"
tp_0120,adv_j,rep_01,meeting,2024-04-09 14:10:00,"creative refresh request - client is interested, sending proposal next week"
tp_0121,adv_j,rep_01,meeting,2024-04-12 08:05:00,Advertiser asked for case studies related to recipe series sponsorship
tp_0122,adv_h,rep_06,call,2024-04-12 17:10:00,Advertiser asked for case studies related to podcast series onboarding
tp_0123,adv_s,rep_06,call,2024-04-13 13:50:00,
tp_0124,adv_k,rep_07,email,2024-04-13 17:20:00,Walked client through at-risk account review
tp_0125,adv_m,rep_06,email,2024-04-13 18:15:00,123
tp_0126,adv_l,rep_02,demo,2024-04-15 08:05:00,Kickoff call for Q2 renewal
tp_0127,adv_j,rep_05,email,2024-04-16 10:15:00,"Discussed budget, timeline, creative assets, and renewal terms with client"
tp_0128,adv_d,rep_05,call,2024-04-16 16:15:00,Walked client through quarterly business review
tp_0129,adv_j,rep_01,call,2024-04-17 08:30:00,Discussed pricing negotiation with client
tp_0130,adv_t,rep_02,call,2024-04-18 12:30:00,Kickoff call for mid-flight performance summary
tp_0131,adv_m,rep_06,call,2024-04-19 14:15:00,Sent updated deck covering social media bundle upsell to stakeholders
tp_0132,adv_l,rep_05,meeting,2024-04-21 09:05:00,Rescheduled Champions League placement meeting due to client conflict
tp_0133,adv_o,rep_02,email,2024-04-21 16:05:00,Great meeting - advertiser committed to renewing after influencer partnership pitch review
tp_0134,adv_p,rep_07,call,2024-04-22 12:15:00,"Reviewed quarterly business review results, positive feedback from advertiser"
tp_0135,adv_t,rep_05,email,2024-04-23 09:45:00,Discussed pricing &amp; timeline with client
tp_0136,adv_e,rep_01,call,2024-04-23 11:15:00, NA 
tp_0137,adv_s,rep_06,meeting,2024-04-23 18:00:00,Status update call
tp_0138,adv_a,rep_01,email,2024-04-24 08:10:00,Rescheduled CTV inventory pitch meeting due to client conflict
tp_0139,adv_q,rep_08,email,2024-04-24 18:10:00,Kickoff call for programmatic pilot discussion
tp_0140,adv_i,rep_04,email,2024-04-25 10:50:00,No notes
tp_0141,adv_i,rep_07,email,2024-04-26 11:50:00,Sent updated deck covering audience segment review to stakeholders
tp_0142,adv_o,rep_03,call,2024-04-27 07:05:00,"Flagged concerns about mid-flight performance summary performance, escalating internally"
tp_0143,adv_s,rep_06,call,2024-04-27 08:10:00,N/A - see CRM attachment for full call summary and next steps
tp_0144,adv_i,rep_04,call,2024-04-28 10:00:00,Sent video series kickoff details via email
tp_0145,adv_c,rep_02,demo,2024-04-29 09:00:00,"Discussed budget, timeline, creative assets, and renewal terms with client"
tp_0146,adv_l,rep_02,meeting,2024-04-29 15:20:00,"Flagged concerns about CTV inventory pitch performance, escalating internally"
tp_0147,adv_i,rep_04,meeting,2024-04-30 07:30:00,"Flagged concerns about Q3 budget planning performance, escalating internally"
tp_0148,adv_k,rep_07,call,2024-05-01 14:00:00,"Rescheduled creative refresh request meeting due to client conflict

Sent from my iPhone"
tp_0149,adv_a,rep_01,email,2024-05-02 16:15:00,
tp_0150,adv_m,rep_06,call,2024-05-04 18:15:00,Sent video series kickoff details via email
tp_0151,adv_o,rep_02,call,2024-05-04 18:20:00,"Reviewed newsletter renewal results, positive feedback from advertiser"
tp_0152,adv_j,rep_05,call,2024-05-05 07:50:00,Sent updated deck covering at-risk account review to stakeholders
tp_0153,adv_r,rep_02,meeting,2024-05-05 10:45:00,Advertiser expanded scope of contract renewal terms to include additional markets
tp_0154,adv_s,rep_05,call,2024-05-06 12:05:00,"social media bundle upsell - client is interested, sending proposal next week"
tp_0155,adv_s,rep_06,call,2024-05-06 17:05:00,Sent CTV inventory pitch details via email
tp_0156,adv_c,rep_02,call,2024-05-09 17:50:00,tbd
tp_0157,adv_i,rep_07,call,2024-05-09 18:10:00,"Client requested changes to social media bundle upsell, will revise and resend"
tp_0158,adv_a,rep_01,call,2024-05-10 07:20:00,Sent quarterly business review details via email
tp_0159,adv_t,rep_06,email,2024-05-10 11:45:00,Great meeting - advertiser committed to renewing after recipe series sponsorship review
tp_0160,adv_h,rep_06,meeting,2024-05-10 18:15:00,"Discussed brand values campaign brief - no major concerns, moving forward as planned"
tp_0161,adv_t,rep_05,email,2024-05-11 11:00:00,Client pushed back on pricing during recipe series sponsorship discussion
tp_0162,adv_q,rep_08,email,2024-05-11 18:10:00,"Follow-up on newsletter renewal, client had questions about timeline"
tp_0163,adv_o,rep_03,demo,2024-05-13 07:50:00,  n/a  
tp_0164,adv_t,rep_05,email,2024-05-13 10:20:00,"holiday campaign brief - client is interested, sending proposal next week"
tp_0165,adv_a,rep_01,call,2024-05-13 17:20:00,Advertiser asked for case studies related to contract renewal terms
tp_0166,adv_s,rep_05,email,2024-05-16 12:45:00,Advertiser asked for case studies related to contract renewal terms
tp_0167,adv_t,rep_06,email,2024-05-16 17:00:00,
tp_0168,adv_a,rep_01,meeting,2024-05-17 11:05:00,"Flagged concerns about Champions League placement performance, escalating internally"
tp_0169,adv_l,rep_05,email,2024-05-17 14:00:00,meeting occurred
tp_0170,adv_h,rep_07,demo,2024-05-18 11:00:00,Sent updated deck covering audience segment review to stakeholders
tp_0171,adv_i,rep_04,call,2024-05-20 18:00:00,"Left voicemail regarding programmatic pilot discussion, awaiting callback"
tp_0172,adv_a,rep_01,call,2024-05-21 15:50:00,
tp_0173,adv_a,rep_01,meeting,2024-05-22 10:20:00,Sent updated deck covering CTV inventory pitch to stakeholders
tp_0174,adv_q,rep_08,call,2024-05-22 17:05:00,"Client requested changes to social media bundle upsell, will revise and resend"
tp_0175,adv_h,rep_07,call,2024-05-23 15:20:00,Client pushed back on pricing during CTV inventory pitch discussion
tp_0176,adv_i,rep_07,email,2024-05-24 15:45:00, None 
tp_0177,adv_o,rep_03,email,2024-05-25 18:20:00,Nothing to report
tp_0178,adv_q,rep_08,email,2024-05-27 10:20:00,Discussed mid-flight performance summary with client
tp_0179,adv_e,rep_01,demo,2024-05-30 13:05:00,Scheduled follow-up meeting to continue spring push planning conversation
tp_0180,adv_r,rep_02,call,2024-05-30 14:05:00,"Follow-up on video series kickoff, client had questions about timeline

Sent from my iPhone"
tp_0181,adv_s,rep_06,meeting,2024-05-30 18:45:00,
tp_0182,adv_d,rep_02,call,2024-05-31 08:10:00,Client pushed back on pricing during creative refresh request discussion
tp_0183,adv_j,rep_05,demo,2024-05-31 08:15:00,Great meeting - advertiser committed to renewing after Q2 renewal review
tp_0184,adv_q,rep_08,email,2024-05-31 12:50:00,n/a
tp_0185,adv_s,rep_07,meeting,2024-06-01 09:20:00,"Advertiser expanded scope of brand values campaign brief to include additional markets

Sent from my iPhone"
tp_0186,adv_s,rep_06,call,2024-06-01 18:30:00,Advertiser asked for case studies related to audience segment review
tp_0187,adv_h,rep_07,email,2024-06-03 12:00:00,Walked client through Q3 budget planning
tp_0188,adv_j,rep_01,call,2024-06-03 18:05:00,Advertiser asked for case studies related to creative refresh request
tp_0189,adv_r,rep_02,meeting,2024-06-05 11:05:00,Client's marketing director joined call to discuss programmatic pilot discussion
tp_0190,adv_s,rep_06,demo,2024-06-05 18:50:00,"Discussed quarterly business review - no major concerns, moving forward as planned"
tp_0191,adv_e,rep_01,meeting,2024-06-06 09:10:00,"influencer partnership pitch - client is interested, sending proposal next week"
tp_0192,adv_q,rep_08,demo,2024-06-06 11:20:00,Walked client through holiday campaign brief
tp_0193,adv_m,rep_06,call,2024-06-06 18:05:00,Scheduled follow-up meeting to continue creative refresh request conversation
tp_0194,adv_h,rep_07,call,2024-06-06 18:45:00,
tp_0195,adv_l,rep_02,call,2024-06-07 13:20:00,Scheduled follow-up meeting to continue CTV inventory pitch conversation
tp_0196,adv_i,rep_04,call,2024-06-08 15:30:00,Discussed social media bundle upsell with client
tp_0197,adv_m,rep_06,call,2024-06-08 18:05:00,Discussed pricing &amp; timeline with client
tp_0198,adv_s,rep_06,meeting,2024-06-09 18:20:00,Walked client through holiday campaign brief
tp_0199,adv_l,rep_02,meeting,2024-06-10 08:20:00,Sent updated deck covering impression dashboard walkthrough to stakeholders
tp_0200,adv_a,rep_01,demo,2024-06-10 14:00:00,"Left voicemail regarding discovery placement walkthrough, awaiting callback"
tp_0201,adv_m,rep_06,email,2024-06-10 14:05:00,IMPORTANT: BUDGET APPROVED FOR Q4 CAMPAIGN
tp_0202,adv_d,rep_04,demo,2024-06-11 12:30:00,Client pushed back on pricing during new product launch tie-in discussion
tp_0203,adv_h,rep_06,email,2024-06-12 13:20:00,Scheduled follow-up meeting to continue brand values campaign brief conversation
tp_0204,adv_o,rep_02,call,2024-06-12 13:45:00,N
tp_0205,adv_q,rep_08,email,2024-06-13 15:15:00,"Notes: n/a for this call, but discussed Q3 pricing at length"
tp_0206,adv_e,rep_01,meeting,2024-06-14 10:10:00,---
tp_0207,adv_a,rep_01,email,2024-06-14 15:00:00,Scheduled follow-up meeting to continue Q4 upsell conversation conversation
tp_0208,adv_j,rep_01,call,2024-06-16 11:05:00,Advertiser expanded scope of podcast series onboarding to include additional markets
tp_0209,adv_r,rep_04,call,2024-06-17 14:45:00,Walked client through holiday campaign brief
tp_0210,adv_i,rep_04,call,2024-06-19 12:10:00,Nope
tp_0211,adv_j,rep_01,call,2024-06-20 08:00:00,"Left voicemail regarding pricing negotiation, awaiting callback"
tp_0212,adv_l,rep_05,email,2024-06-20 15:00:00,yes
tp_0213,adv_j,rep_07,meeting,2024-06-20 17:05:00,Client pushed back on pricing during pricing negotiation discussion
tp_0214,adv_s,rep_05,email,2024-06-21 07:45:00,Discussed Champions League placement with client
tp_0215,adv_t,rep_06,demo,2024-06-21 10:45:00,Kickoff call for Q2 renewal
tp_0216,adv_i,rep_07,call,2024-06-21 12:20:00,"Left voicemail regarding quarterly business review, awaiting callback"
tp_0217,adv_r,rep_04,call,2024-06-22 07:30:00,Advertiser expanded scope of at-risk account review to include additional markets
tp_0218,adv_l,rep_02,email,2024-06-23 07:00:00,Client's marketing director joined call to discuss mid-flight performance summary
tp_0219,adv_s,rep_05,call,2024-06-23 16:05:00,"Discussed new product launch tie-in - no major concerns, moving forward as planned"
tp_0220,adv_t,rep_02,email,2024-06-24 11:05:00,Sent updated deck covering contract renewal terms to stakeholders
tp_0221,adv_g,rep_01,meeting,2024-06-24 17:30:00,"Covered pricing, placement options, flight dates, and reporting cadence"
tp_0222,adv_i,rep_04,call,2024-06-25 14:05:00,N/A
tp_0223,adv_t,rep_06,meeting,2024-06-26 13:50:00,Discussed influencer partnership pitch with client
tp_0224,adv_o,rep_03,call,2024-06-26 14:10:00,Advertiser asked for case studies related to recipe series sponsorship
tp_0225,adv_j,rep_05,meeting,2024-06-27 07:45:00,"Discussed budget, timeline, creative assets, and renewal terms with client"
tp_0226,adv_d,rep_02,call,2024-06-27 08:00:00,"Client requested changes to influencer partnership pitch, will revise and resend"
tp_0227,adv_d,rep_05,email,2024-06-28 09:45:00,IMPORTANT: BUDGET APPROVED FOR Q4 CAMPAIGN
tp_0228,adv_o,rep_03,call,2024-06-29 11:45:00,No notes field filled originally; adding context now: client is happy
tp_0229,adv_o,rep_02,demo,2024-06-30 14:30:00,Nil
tp_0230,adv_o,rep_02,email,2024-07-01 09:20:00,Advertiser expanded scope of audience segment review to include additional markets
tp_0231,adv_s,rep_07,call,2024-07-02 09:45:00,Great meeting - advertiser committed to renewing after contract renewal terms review
tp_0232,adv_s,rep_06,meeting,2024-07-03 07:20:00,Advertiser expanded scope of contract renewal terms to include additional markets
tp_0233,adv_o,rep_02,call,2024-07-03 16:10:00,"Q1 awareness campaign - client is interested, sending proposal next week"
tp_0234,adv_k,rep_07,meeting,2024-07-04 16:45:00,"Follow-up on quarterly business review, client had questions about timeline"
tp_0235,adv_l,rep_05,meeting,2024-07-04 17:00:00,"Discussed creative refresh request - no major concerns, moving forward as planned"
tp_0236,adv_g,rep_01,email,2024-07-05 09:45:00,Walked client through social media bundle upsell
tp_0237,adv_l,rep_02,call,2024-07-07 14:45:00,Scheduled follow-up meeting to continue recipe series sponsorship conversation
tp_0238,adv_q,rep_08,call,2024-07-08 14:05:00,Advertiser asked for case studies related to impression dashboard walkthrough
tp_0239,adv_l,rep_05,email,2024-07-10 09:30:00,"Client requested changes to co-op marketing funds, will revise and resend"
tp_0240,adv_l,rep_05,call,2024-07-11 08:45:00,"Covered pricing, placement options, flight dates, and reporting cadence"
tp_0241,adv_o,rep_02,call,2024-07-13 11:50:00,Great meeting - advertiser committed to renewing after social media bundle upsell review
tp_0242,adv_c,rep_02,email,2024-07-13 16:20:00,"Follow-up on co-op marketing funds, client had questions about timeline"
tp_0243,adv_h,rep_07,call,2024-07-14 07:20:00,Discussed Q2 renewal with client
tp_0244,adv_s,rep_07,email,2024-07-14 08:00:00,
tp_0245,adv_d,rep_04,call,2024-07-15 10:10:00,Walked client through influencer partnership pitch
tp_0246,adv_h,rep_06,call,2024-07-16 08:30:00,"discovery placement walkthrough - client is interested, sending proposal next week

Thanks,
Alex"
tp_0247,adv_o,rep_02,demo,2024-07-17 12:30:00,Sent holiday campaign brief details via email
tp_0248,adv_e,rep_01,email,2024-07-17 12:50:00,"Left voicemail regarding impression dashboard walkthrough, awaiting callback"
tp_0249,adv_t,rep_06,call,2024-07-17 17:10:00,
tp_0250,adv_q,rep_08,email,2024-07-19 07:05:00,Discussed co-op marketing funds with client
tp_0251,adv_m,rep_06,call,2024-07-19 15:15:00,Client pushed back on pricing during at-risk account review discussion
tp_0252,adv_t,rep_06,call,2024-07-19 17:45:00,Client's marketing director joined call to discuss programmatic pilot discussion
tp_0253,adv_j,rep_05,meeting,2024-07-21 17:50:00,no update
tp_0254,adv_s,rep_05,call,2024-07-22 08:45:00,Advertiser expanded scope of impression dashboard walkthrough to include additional markets
tp_0255,adv_a,rep_01,call,2024-07-22 09:00:00,Discussed audience segment review with client
tp_0256,adv_t,rep_06,call,2024-07-22 10:20:00,"pricing negotiation - client is interested, sending proposal next week"
tp_0257,adv_b,rep_04,call,2024-07-23 07:10:00,Advertiser expanded scope of Q4 upsell conversation to include additional markets
tp_0258,adv_s,rep_06,call,2024-07-25 11:45:00,Y.
tp_0259,adv_r,rep_02,email,2024-07-25 11:50:00,Rescheduled mid-flight performance summary meeting due to client conflict
tp_0260,adv_h,rep_06,call,2024-07-26 16:10:00,Walked client through spring push planning
tp_0261,adv_q,rep_08,call,2024-07-28 09:30:00,*
tp_0262,adv_o,rep_02,call,2024-07-31 07:10:00,"Follow-up on Q2 renewal, client had questions about timeline"
tp_0263,adv_t,rep_06,email,2024-07-31 10:15:00,Great meeting - advertiser committed to renewing after newsletter renewal review
tp_0264,adv_o,rep_02,email,2024-07-31 16:45:00,"Reviewed creative refresh request results, positive feedback from advertiser

Get Outlook for iOS"
tp_0265,adv_p,rep_07,call,2024-08-02 13:20:00,"Discussed new product launch tie-in - no major concerns, moving forward as planned

Sent from my iPhone"
tp_0266,adv_a,rep_01,email,2024-08-03 17:15:00,Advertiser asked for case studies related to creative refresh request
tp_0267,adv_a,rep_01,call,2024-08-03 18:30:00,"Left voicemail regarding discovery placement walkthrough, awaiting callback"
tp_0268,adv_d,rep_05,call,2024-08-04 09:20:00,?
tp_0269,adv_t,rep_06,call,2024-08-05 16:20:00,Discussed CTV inventory pitch with client
tp_0270,adv_a,rep_01,call,2024-08-06 13:00:00,  test  
tp_0271,adv_l,rep_05,call,2024-08-06 17:30:00,"Reviewed contract terms tied to new product launch tie-in, legal reviewing redlines"
tp_0272,adv_r,rep_01,call,2024-08-06 17:50:00,"Reviewed contract terms tied to influencer partnership pitch, legal reviewing redlines"
tp_0273,adv_j,rep_01,email,2024-08-07 10:15:00,"Left voicemail regarding at-risk account review, awaiting callback

Sent from my iPhone"
tp_0274,adv_a,rep_01,meeting,2024-08-07 15:10:00,Client's marketing director joined call to discuss CTV inventory pitch
